,gene,moduleColor
292,HMGN5,brown
293,LOC100190095,pink
294,EBAG9,brown
295,PSMB4,brown
296,LOC100190503,pink
297,POMP,grey
298,GLO1,black
299,VOPP1,grey
300,RALA,blue
301,NUDT21,black
302,NDUFA1,brown
303,GRIA2,red
304,NDUFS7,brown
305,SRSF7,grey
306,SUMO1,blue
307,HRAS,blue
308,SRP19,black
309,ARPC4,blue
310,SELENOK,pink
311,ITPA,brown
312,DPM1,grey
313,LOC100190143,black
314,LAMTOR3,black
315,RTRAF,pink
316,YIPF3,pink
317,ARL1,black
318,ARPC3,blue
319,RHEB,black
320,LOC100190538,red
321,NDUFS6,pink
322,RPL13A,brown
323,LOC100190439,brown
324,PSMA4,blue
325,PSMC1,grey
326,ROMO1,brown
327,LOC100190561,blue
328,AHSA2,red
329,EIF4A3,pink
330,LOC100219288,grey
331,MTX2,black
332,AZIN1,black
333,EIF3H,grey
334,LOC100190394,brown
335,OCIAD1,brown
336,C1H12orf57,grey
337,LOC100190416,pink
338,CNIH1,pink
339,PDAP1,black
340,CCT2,grey
341,ANP32A,grey
342,RBM8A,brown
343,STMN1,blue
344,PSMD7,red
345,LSM5,pink
346,VAMP4,brown
347,LOC100190759,pink
348,CHMP5,brown
349,DCTN5,pink
350,MIR9-1,brown
351,DIRAS3,grey
352,COPS5,pink
353,TBCA,black
354,LOC100190030,brown
355,LOC100219971,blue
356,SEM1,black
357,CPLX1,blue
358,NDUFB3,red
359,MRPS17,pink
360,LOC100190391,brown
361,WBP2NL,pink
362,PPA1,grey
363,RNASEH1,black
364,FAM168A,black
365,SSR3,pink
366,ADRM1,pink
367,LOC100190340,pink
368,TXN2,grey
369,SPAG7,brown
370,PPID,black
371,MEAF6,blue
372,TMED2,black
373,POLR2F,brown
374,PSMD14,blue
375,LOC101234176,brown
376,SNRNP27,brown
377,LOC100190731,brown
378,RBX1,black
379,NSA2,grey
380,MBNL1,blue
381,PSMA2,pink
382,GET4,grey
383,UCHL1,blue
384,PRELID1,pink
385,SNRPD1,black
386,AKIRIN2,black
387,RPS13,grey
388,LOC100190049,black
389,GLRX5,black
390,MCTS1,black
391,MRPS11,blue
392,VAPB,blue
393,RPS26,brown
394,BTF3L4,black
395,PARK7,brown
396,AURKAIP1,blue
397,LOC100190123,black
398,HRASLS,black
399,FSCN1,brown
400,LOC100190148,grey
401,TMEM167A,blue
402,TCEA2,blue
403,MRPS14,pink
404,MRPL23,pink
405,POLR2C,blue
406,MIRLET7D,blue
407,TMEM50B,pink
408,PFDN4,pink
409,SEC11C,grey
410,CD74,grey
411,LOC100190696,brown
412,PSMA6,black
413,LOC100190204,black
414,TMEM189,blue
415,MAP1LC3A,brown
416,CALN1,black
417,RER1,grey
418,EMC7,blue
419,LOC100189945,brown
420,MED31,black
421,MRPS33,brown
422,EIF2S2,brown
423,LOC100190469,pink
424,UTP11,pink
425,UBE2I,black
426,MRPL51,brown
427,LOC100190706,brown
428,MIR221,black
429,TOMM20,grey
430,FAM213A,grey
